origin,M49,alpha-2,alpha-3,region,sub-region,intermediate-region,year,total_migrants,female_migrants,male_migrants,pct_female_migrants,pct_male_migrants,remittance_inflows,gdp_per_capita,total_population,Gini_index,homicides_per_100k_population,exposure_to_droughts,climate_risk_index,migration_rate,weighted_avg_dest_gdp
Sint Maarten (Dutch part),534,SX,SXM,Americas,Latin America and the Caribbean,Caribbean,2010,0.0016979999999999999,0.000873,0.000825,51.41342756183745,48.58657243816255,0.0,26403.81436921632,0.033794,,,,,5.02456057288276,
Sint Maarten (Dutch part),534,SX,SXM,Americas,Latin America and the Caribbean,Caribbean,2015,0.0017929999999999999,0.000919,0.000874,51.25488008923592,48.74511991076408,55.11731843575419,37839.62838151634,0.037471,,,,,4.785033759440634,
Sint Maarten (Dutch part),534,SX,SXM,Americas,Latin America and the Caribbean,Caribbean,2020,0.0019450000000000001,0.000992,0.000953,51.0025706940874,48.99742930591259,38.68624481564246,30150.89983804768,0.041007999999999996,,,,,4.742976980101445,
Sint Maarten (Dutch part),534,SX,SXM,Americas,Latin America and the Caribbean,Caribbean,2024,0.002464,0.0012569999999999999,0.001207,51.01461038961038,48.9853896103896,,40027.91759921131,0.04335,,,,,5.683967704728951,1337.7812792568538
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,1990,0.20105299999999998,0.105873,0.09518,52.659249053732104,47.3407509462679,,941.5917361021884,0.412493,,,,,48.740948331244404,
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,1995,0.214997,0.11354399999999999,0.101453,52.811899700926055,47.188100299073945,,1609.8250437320628,0.429606,,,,,50.04515765608488,
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,2000,0.22438199999999997,0.11920499999999999,0.10517699999999999,53.12591919137899,46.87408080862102,0.0,1988.2217292543253,0.476643,,,,,47.07548416739572,
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,2005,0.24048399999999998,0.129567,0.110917,53.87759684635984,46.122403153640164,3.9,3453.428659377645,0.519313,,,,,46.30810320558121,
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,2010,0.243661,0.133015,0.110646,54.59018882792076,45.40981117207924,4.3,7943.604828169148,0.5499229999999999,,,,,44.30820314844078,
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,2015,0.238769,0.130863,0.107906,54.80736611536674,45.19263388463327,6.70555950380625,8813.61705392067,0.581627,,,4.2,,41.051911276471,
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,2020,0.25012199999999996,0.1387,0.111422,55.4529389657847,44.547061034215304,124.0286490784125,4755.392217106932,0.612317,,,8.6,,40.84844941427397,
Suriname,740,SR,SUR,Americas,Latin America and the Caribbean,South America,2024,0.258026,0.14465,0.11337599999999999,56.060241991117174,43.939758008882826,,7430.702191764433,0.634431,,,,151.0,40.670459041251135,25506.081521715605
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,1990,0.18163,0.099561,0.082069,54.815283818752405,45.184716181247595,,4047.250935946744,1.252208,,,,,14.504778758800457,
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,1995,0.18853599999999998,0.100635,0.08790099999999999,53.37707387448552,46.62292612551449,,4114.689084754638,1.295169,,,,,14.556864779808656,
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,2000,0.281792,0.15894999999999998,0.12284199999999999,56.40685328185327,43.59314671814672,38.1000020159381,6178.589755596872,1.319774,,,,,21.351534429379573,
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,2005,0.29191199999999995,0.163904,0.12800799999999998,56.14842829345831,43.8515717065417,92.4,12346.437309407496,1.294494,,,,,22.55027833269215,
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,2010,0.314851,0.175533,0.139318,55.751133075645306,44.248866924354694,90.9,16815.424737361,1.3177139999999998,,,,,23.89372807756463,
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,2015,0.32345,0.180591,0.14285899999999999,55.832740763641986,44.16725923635801,155.2027977812408,19887.233735933765,1.349667,,,0.0,,23.96517066802404,
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,2020,0.310552,0.175111,0.135441,56.38701409103789,43.61298590896211,194.4376359168043,15358.861297306576,1.366725,,,0.3,,22.722347216887083,
Trinidad and Tobago,780,TT,TTO,Americas,Latin America and the Caribbean,Caribbean,2024,0.32363,0.18390099999999998,0.139729,56.824460031517475,43.17553996848253,,19314.716343266376,1.368333,,29.36428294,,139.0,23.65140649242545,51079.52543953006
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,1990,0.0022459999999999997,0.0012749999999999999,0.000971,56.767586821015136,43.232413178984864,,,0.011687999999999999,,,,,19.216290212183434,
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,1995,0.001431,0.000802,0.000629,56.044723969252274,43.95527603074773,,,0.015052,,,,,9.507042253521126,
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,2000,0.000595,0.000319,0.000276,53.61344537815126,46.38655462184874,0.0,,0.01873,,,,,3.1767218366257346,
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,2005,0.001039,0.000596,0.000443,57.36284889316651,42.63715110683349,0.0,24122.302818075703,0.023988,,,,,4.3313323328330835,
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,2010,0.002009,0.001171,0.000838,58.28770532603286,41.71229467396715,0.0,23093.849826826725,0.029738999999999998,,,,,6.755438985843505,
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,2015,0.002251,0.001316,0.000935,58.46290537538871,41.537094624611285,6.053,25736.101625461004,0.036605,,,,,6.149433137549516,
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,2020,0.00247,0.001442,0.001028,58.38056680161942,41.61943319838057,0.0,20690.91605461181,0.044385999999999995,,,,,5.564817735321949,
Turks and Caicos Islands,796,TC,TCA,Americas,Latin America and the Caribbean,Caribbean,2024,0.0026629999999999996,0.0015539999999999998,0.001109,58.355238452872705,41.64476154712731,,37506.779843128825,0.046535,,,,,5.722574406360803,19839.04574213749
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,1990,0.002348,0.001189,0.0011589999999999999,50.638841567291315,49.361158432708685,,,0.103963,,,,,2.258495811009686,
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,1995,0.003012,0.00138,0.001632,45.81673306772908,54.18326693227091,,,0.107818,,,,,2.7935966165204325,
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,2000,0.0037279999999999995,0.0015949999999999998,0.002133,42.7843347639485,57.21566523605151,,,0.10864199999999999,,,,,3.4314537655786896,
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,2005,0.0034739999999999997,0.001488,0.001986,42.832469775474955,57.167530224525045,,40828.74609277752,0.108453,,,,,3.20323089264474,
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,2010,0.003555,0.0015559999999999999,0.001999,43.76933895921237,56.23066104078762,,39905.12841809943,0.108357,,,,,3.2808217281763064,
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,2015,0.0037949999999999998,0.0016749999999999998,0.00212,44.13702239789196,55.862977602108046,,34007.35294117647,0.10771199999999999,,,,,3.5232843137254903,
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,2020,0.0038399999999999997,0.001702,0.0021379999999999997,44.322916666666664,55.677083333333336,,39787.37416502023,0.10629,,,,,3.6127575500987863,
United States Virgin Islands,850,VI,VIR,Americas,Latin America and the Caribbean,Caribbean,2024,0.004047,0.001784,0.002263,44.08203607610576,55.917963923894234,,,0.104377,,,,,3.877290974065168,9002.382599282
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,1990,0.178551,0.088335,0.09021599999999999,49.47325974091436,50.526740259085635,,2995.3610566346547,3.104403,,,,,5.751540634382843,
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,1995,0.18602999999999997,0.09439499999999999,0.091635,50.74181583615546,49.25818416384454,,6050.486322536444,3.18944,40.9,,,,5.8326853616935885,
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,2000,0.202378,0.103113,0.09926499999999999,50.950696221921355,49.04930377807864,0.0,6987.7009876625725,3.266206,43.4,,,,6.196118677144063,
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,2005,0.256391,0.12945399999999999,0.126937,50.49085186297491,49.50914813702509,76.74038999999999,5284.25677987129,3.285771,44.7,,,,7.803069660058476,
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,2010,0.272665,0.137966,0.13469899999999999,50.59908679148406,49.40091320851594,124.891,12641.057684900788,3.31858,44.5,,,,8.216315412013572,
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,2015,0.256293,0.130384,0.125909,50.8730242339822,49.1269757660178,90.2670582344633,17125.901680029787,3.368017,40.1,,5.9,,7.60961123414757,
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,2020,0.259028,0.133407,0.12562099999999998,51.502926324567234,48.497073675432766,111.1173913165429,15757.53559957787,3.398968,40.2,,3.9,,7.620783720235083,
Uruguay,858,UY,URY,Americas,Latin America and the Caribbean,South America,2024,0.263285,0.13630699999999998,0.126978,51.77165429097745,48.22834570902255,,23906.51330294079,3.3865879999999997,40.0,8.901835953,,133.0,7.774343970982003,18967.663773978955
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,1990,0.216183,0.112495,0.10368799999999999,52.03693167362836,47.96306832637164,,2451.5523114567022,19.827009999999998,,,,,1.0903459472709198,
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,1995,0.24878899999999998,0.125699,0.12308999999999999,50.52433990248766,49.475660097512346,,3486.983506359194,22.193821,47.2,,,,1.1209831781557578,
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,2000,0.338356,0.184276,0.15408,54.462164111172854,45.537835888827146,17.0,4776.281676393797,24.526708,,,,,1.3795410293138402,
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,2005,0.451384,0.239566,0.21181799999999998,53.073657905464074,46.92634209453591,148.0,5432.485418465401,26.785804,49.3,,,,1.6851612891664556,
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,2010,0.5509299999999999,0.295797,0.255133,53.69048699471802,46.309513005281985,143.0,13646.304662266411,28.813101,,,,,1.9120815909401765,
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,2015,0.760196,0.402601,0.357595,52.960157643555085,47.039842356444915,161.0,,30.573971999999998,,,6.3,,2.4864155694261774,
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,2020,5.477198,2.8012349999999997,2.675963,51.14357742772856,48.85642257227145,0.0,,28.444077,,,5.6,,19.25602296745294,
Venezuela,862,VE,VEN,Americas,Latin America and the Caribbean,South America,2024,8.328513999999998,4.290608,4.0379059999999996,51.51708936312048,48.482910636879524,,,28.405542999999998,,19.30505593,,,29.32003095311362,24776.39223506888
