index,destination,coverage,type,destination_code,origin,origin_code,gender,year,migrants,M49,migrants_millions,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code,alpha-3_dest,gdp_per_capita_dest,total_population_dest
25049,Ecuador,,B R,218,Anguilla,660,female,1990,285,660,0.000285,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,1455.0074851087052,10473673.0
21952,Curaçao,23,B R,531,Anguilla,660,female,1990,32,660,0.000032,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,,145400.0
22029,Dominica,,B,212,Anguilla,660,female,1990,2,660,2e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,2892.981596645405,69627.0
22158,Dominican Republic,,B R,214,Anguilla,660,female,1990,57,660,0.000056999999999999996,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,989.1639412076594,7151166.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,female,1990,152,660,0.00015199999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,,28061.0
17226,Latvia,,B,428,Anguilla,660,male,1990,2,660,2e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,,2663151.0
22647,Saint Lucia,,B R,662,Anguilla,660,female,1990,9,660,9e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,4204.571618631115,137857.0
18594,Greece,,B,300,Anguilla,660,male,1990,3,660,3e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,9466.662385021744,10196792.0
22647,Saint Lucia,,B R,662,Anguilla,660,male,1990,7,660,7e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,4204.571618631115,137857.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,female,1995,539,660,0.000539,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,,107818.0
22889,United States Virgin Islands,30,B,850,Anguilla,660,male,1995,567,660,0.000567,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,VIR,,107818.0
22647,Saint Lucia,,B R,662,Anguilla,660,male,1995,10,660,9.999999999999999e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,5147.920240222949,148208.0
17226,Latvia,,B,428,Anguilla,660,female,1995,2,660,2e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,2256.773603870537,2485056.0
25049,Ecuador,,B R,218,Anguilla,660,male,1995,241,660,0.00024099999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,2108.00698245316,11590514.0
22158,Dominican Republic,,B R,214,Anguilla,660,female,1995,65,660,0.000065,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,2109.169407286892,7888115.0
14676,Bulgaria,,B,100,Anguilla,660,female,1995,6,660,6e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,2259.2592255522086,8406067.0
22647,Saint Lucia,,B R,662,Anguilla,660,female,1995,11,660,0.000011,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LCA,5147.920240222949,148208.0
14676,Bulgaria,,B,100,Anguilla,660,male,1995,10,660,9.999999999999999e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,2259.2592255522086,8406067.0
18594,Greece,,B,300,Anguilla,660,female,1995,5,660,4.9999999999999996e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,12779.081491606008,10562153.0
17226,Latvia,,B,428,Anguilla,660,male,1995,4,660,4e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,2256.773603870537,2485056.0
21952,Curaçao,23,B R,531,Anguilla,660,female,1995,32,660,0.000032,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,,145139.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,female,1995,152,660,0.00015199999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,,31772.0
21952,Curaçao,23,B R,531,Anguilla,660,male,1995,11,660,0.000011,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,CUW,,145139.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,male,1995,182,660,0.00018199999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,,31772.0
22158,Dominican Republic,,B R,214,Anguilla,660,male,1995,90,660,0.00008999999999999999,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DOM,2109.169407286892,7888115.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,female,1995,13,660,0.000013,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,9034.475529071433,68189.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,male,1995,12,660,0.000012,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,9034.475529071433,68189.0
18594,Greece,,B,300,Anguilla,660,male,1995,6,660,6e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,GRC,12779.081491606008,10562153.0
22029,Dominica,,B,212,Anguilla,660,female,1995,3,660,3e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,3951.722670863583,69469.0
22029,Dominica,,B,212,Anguilla,660,male,1995,6,660,6e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,DMA,3951.722670863583,69469.0
25049,Ecuador,,B R,218,Anguilla,660,female,1995,238,660,0.00023799999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ECU,2108.00698245316,11590514.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,female,2000,152,660,0.00015199999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,,30773.0
22764,Sint Maarten (Dutch part),28,B R,534,Anguilla,660,male,2000,182,660,0.00018199999999999998,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,SXM,,30773.0
14676,Bulgaria,,B,100,Anguilla,660,male,2000,13,660,0.000013,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,BGR,1621.2621073899163,8170172.0
17226,Latvia,,B,428,Anguilla,660,male,2000,6,660,6e-6,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,LVA,3278.178964408034,2367550.0
21405,Antigua and Barbuda,,B R,28,Anguilla,660,female,2000,17,660,0.000017,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,ATG,12027.494976822189,74912.0
